Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
         -8.8,    -0.7023176, ,          -8.6,    -0.6891682, ,            -9,    -0.7375828, ,          -8.6,    -0.6843899, ,            -9,    -0.7335712, ,          -8.2,    -0.6288539, ,          -8.8,    -0.7034007, ,            -8,    -0.6001857, ,          -8.8,    -0.7005023, ,          -8.4,    -0.6484361, , 
         -8.6,    -0.6807299, ,          -8.4,     -0.664588, ,          -8.8,     -0.712633, ,          -8.4,    -0.6586229, ,          -8.8,    -0.7077317, ,            -8,    -0.6031585, ,          -8.6,    -0.6781172, ,          -7.8,    -0.5745637, ,          -8.6,     -0.675139, ,          -8.2,    -0.6230363, , 
         -8.4,    -0.6590455, ,          -8.2,    -0.6397522, ,          -8.6,    -0.6874542, ,          -8.2,     -0.632839, ,          -8.6,     -0.681879, ,          -7.8,    -0.5775074, ,          -8.4,    -0.6526809, ,          -7.4,    -0.5232004, ,          -8.4,    -0.6496758, ,            -8,    -0.5975969, , 
         -8.2,    -0.6361752, ,            -8,    -0.6147034, ,          -8.4,    -0.6621492, ,          -7.8,    -0.5818658, ,          -8.4,    -0.6561434, ,          -7.6,     -0.551729, ,          -8.2,    -0.6272537, ,          -7.2,    -0.4974005, ,          -8.2,    -0.6242663, ,          -7.8,    -0.5721107, , 
           -8,    -0.6134562, ,          -7.8,    -0.5895762, ,          -8.2,    -0.6366726, ,          -7.4,    -0.5306211, ,          -8.2,    -0.6305792, ,          -7.4,    -0.5260767, ,            -8,    -0.6016155, ,            -7,    -0.4716412, ,            -8,    -0.5987592, ,          -7.6,    -0.5466404, , 
         -7.8,    -0.5899866, ,          -7.6,    -0.5639975, ,            -8,    -0.6109679, ,          -7.2,    -0.5048378, ,            -8,    -0.6049585, ,          -7.2,    -0.5003809, ,          -7.8,    -0.5759805, ,          -6.8,     -0.446027, ,          -7.8,    -0.5733404, ,          -7.4,    -0.5210881, , 
         -7.6,    -0.5664051, ,          -7.4,    -0.5380625, ,          -7.8,    -0.5849217, ,            -7,    -0.4790657, ,          -7.8,    -0.5793741, ,          -6.8,    -0.4489101, ,          -7.6,    -0.5501974, ,          -6.6,    -0.4204066, ,          -7.6,    -0.5477343, ,          -7.2,    -0.4954323, , 
         -7.4,    -0.5420907, ,          -7.2,    -0.5123548, ,          -7.6,    -0.5591983, ,          -6.6,    -0.4272986, ,          -7.6,    -0.5537685, ,          -6.4,     -0.397186, ,          -7.4,    -0.5243992, ,          -6.4,    -0.3943705, ,          -7.4,    -0.5221062, ,            -7,    -0.4697095, , 
         -7.2,    -0.5175489, ,            -7,     -0.486604, ,          -7.4,    -0.5336152, ,          -6.4,    -0.4014448, ,          -7.4,    -0.5282025, ,          -6.2,    -0.3713074, ,          -7.2,    -0.4986905, ,          -6.2,    -0.3682087, ,          -7.2,    -0.4964151, ,          -6.8,     -0.443928, , 
           -7,    -0.4926234, ,          -6.8,     -0.460829, ,          -7.2,     -0.508296, ,          -6.2,    -0.3755723, ,          -7.2,    -0.5025287, ,            -6,    -0.3453611, ,            -7,     -0.473073, ,            -6,    -0.3425569, ,            -7,    -0.4706586, ,          -6.6,    -0.4180776, , 
         -6.8,    -0.4673867, ,          -6.4,    -0.4092314, ,            -7,    -0.4823885, ,            -6,    -0.3493768, ,            -7,    -0.4765995, ,          -5.8,    -0.3195539, ,          -6.8,    -0.4474605, ,          -5.8,    -0.3165893, ,          -6.8,    -0.4448772, ,          -6.4,     -0.392368, , 
         -6.6,    -0.4418238, ,          -6.2,    -0.3836717, ,          -6.8,    -0.4565005, ,          -5.6,    -0.2973888, ,          -6.8,    -0.4506304, ,          -5.6,    -0.2935557, ,          -6.6,    -0.4216238, ,          -5.6,    -0.2904587, ,          -6.6,    -0.4191552, ,            -6,    -0.3399375, , 
         -6.4,    -0.4160582, ,            -6,    -0.3576491, ,          -6.4,    -0.4047107, ,          -5.4,    -0.2718185, ,          -6.6,    -0.4250131, ,          -5.4,    -0.2673147, ,          -6.4,    -0.3954411, ,          -5.4,    -0.2644547, ,          -6.2,    -0.3672168, ,          -5.8,    -0.3140212, , 
         -6.2,    -0.3904473, ,          -5.8,    -0.3316999, ,          -6.2,    -0.3787245, ,          -5.2,    -0.2459857, ,          -6.4,    -0.3990032, ,          -5.2,    -0.2410281, ,          -6.2,    -0.3697721, ,          -5.2,    -0.2382767, ,            -6,    -0.3411788, ,          -5.6,    -0.2881154, , 
           -6,    -0.3645251, ,          -5.6,    -0.3054441, ,            -6,    -0.3525168, ,          -4.8,    -0.1936481, ,          -6.2,    -0.3730139, ,            -5,    -0.2149187, ,            -6,    -0.3438691, ,            -5,    -0.2119911, ,          -5.8,    -0.3153329, ,          -5.4,    -0.2620895, , 
         -5.8,    -0.3383736, ,          -5.4,    -0.2793688, ,          -5.8,     -0.326711, ,          -4.6,    -0.1674234, ,            -6,    -0.3473013, ,          -4.8,    -0.1892413, ,          -5.8,    -0.3178663, ,          -4.6,     -0.159838, ,          -5.6,    -0.2892289, ,          -5.2,    -0.2360831, , 
         -5.4,     -0.284789, ,          -5.2,    -0.2529491, ,          -5.6,    -0.3008604, ,          -4.4,    -0.1408029, ,          -5.8,    -0.3212694, ,          -4.6,    -0.1632041, ,          -5.6,    -0.2919247, ,          -4.4,    -0.1343178, ,          -5.4,    -0.2630858, ,          -4.8,    -0.1839729, , 
