Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
           -8,    -0.8747711, ,          -8.6,    -0.9506876, ,          -8.8,    -0.9745958, ,            -9,    -0.9960266, ,          -8.2,    -0.9146762, ,          -6.2,    -0.7062513, ,            -6,    -0.6855407, ,          -7.2,    -0.8198231, ,            -9,     -1.007954, ,            -9,     -1.017569, , 
         -7.8,    -0.8554884, ,          -8.4,    -0.9303434, ,          -8.6,    -0.9543366, ,          -8.8,    -0.9759601, ,            -8,    -0.8901128, ,            -6,    -0.6839008, ,          -5.8,    -0.6630376, ,            -7,    -0.7977104, ,          -8.8,    -0.9896219, ,          -8.8,    -0.9972146, , 
         -7.6,    -0.8358958, ,          -8.2,    -0.9098186, ,          -8.4,    -0.9338859, ,          -8.6,    -0.9556807, ,          -7.8,    -0.8687926, ,          -5.8,    -0.6616013, ,          -5.6,    -0.6404347, ,          -6.8,      -0.77588, ,          -8.6,    -0.9703867, ,          -8.6,    -0.9763648, , 
         -7.4,    -0.8160185, ,            -8,      -0.88915, ,          -8.2,    -0.9132588, ,          -8.4,    -0.9352102, ,          -7.6,    -0.8503866, ,          -5.4,     -0.616644, ,          -5.2,    -0.5952701, ,          -6.6,    -0.7543104, ,          -8.4,    -0.9505435, ,          -8.4,    -0.9551702, , 
         -7.2,    -0.7958866, ,          -7.8,    -0.8683258, ,            -8,    -0.8924696, ,          -8.2,    -0.9145671, ,          -7.4,    -0.8310592, ,          -5.2,    -0.5944201, ,            -5,    -0.5726038, ,          -6.4,    -0.7318171, ,          -8.2,    -0.9301537, ,          -8.2,    -0.9337046, , 
           -7,    -0.7755318, ,          -7.6,    -0.8473498, ,          -7.8,    -0.8715324, ,            -8,    -0.8937671, ,          -7.2,     -0.810761, ,            -5,    -0.5717647, ,          -4.8,    -0.5497736, ,          -6.2,    -0.7092632, ,            -8,    -0.9092686, ,            -8,    -0.9120032, , 
         -6.8,    -0.7549104, ,          -7.4,    -0.8262523, ,          -7.6,     -0.850551, ,          -7.8,      -0.87192, ,            -7,    -0.7900426, ,          -4.8,    -0.5489447, ,          -4.6,    -0.5269864, ,            -6,    -0.6866862, ,          -7.8,    -0.8879724, ,          -7.8,    -0.8901199, , 
         -6.6,    -0.7341892, ,          -7.2,    -0.8050598, ,          -7.4,    -0.8294687, ,          -7.6,    -0.8467962, ,          -6.8,    -0.7687985, ,          -4.6,    -0.5264685, ,          -4.2,    -0.4814642, ,          -5.8,    -0.6640697, ,          -7.6,    -0.8662847, ,          -7.6,    -0.8678936, , 
         -6.4,    -0.7132832, ,            -7,    -0.7837989, ,            -7,    -0.7796607, ,          -7.4,     -0.824351, ,          -6.6,    -0.7471725, ,          -4.4,    -0.5035995, ,            -4,    -0.4584859, ,          -5.6,    -0.6413744, ,          -7.4,    -0.8440547, ,          -7.4,    -0.8455435, , 
         -6.2,    -0.6938706, ,          -6.8,    -0.7625054, ,          -6.8,    -0.7569618, ,          -7.2,    -0.8054963, ,          -6.4,    -0.7256134, ,          -4.2,     -0.480676, ,          -3.8,      -0.43557, ,          -5.4,    -0.6186436, ,          -7.2,    -0.8217552, ,          -7.2,    -0.8232324, , 
           -6,    -0.6732751, ,          -6.6,    -0.7387189, ,          -6.6,    -0.7374832, ,            -7,    -0.7863482, ,          -6.2,    -0.7039955, ,          -3.8,    -0.4349434, ,          -3.6,    -0.4126292, ,          -5.2,    -0.5959826, ,            -7,    -0.7995977, ,            -7,    -0.8010216, , 
         -5.8,    -0.6534319, ,          -6.4,    -0.7119665, ,          -6.4,    -0.7178137, ,          -6.8,    -0.7660412, ,            -6,    -0.6821365, ,          -3.6,    -0.4119478, ,          -3.4,    -0.3895908, ,            -5,    -0.5732802, ,          -6.8,    -0.7775275, ,          -6.8,    -0.7786533, , 
         -5.6,    -0.6286632, ,          -6.2,    -0.6869913, ,          -6.2,    -0.6972699, ,          -6.6,    -0.7449023, ,          -5.8,    -0.6599944, ,          -3.4,    -0.3889073, ,          -3.2,    -0.3664811, ,          -4.8,    -0.5504386, ,          -6.4,    -0.7328405, ,          -6.4,    -0.7336571, , 
         -5.4,    -0.6005773, ,            -6,    -0.6643613, ,            -6,    -0.6761145, ,          -6.4,    -0.7237085, ,          -5.6,    -0.6377065, ,          -3.2,    -0.3658978, ,            -3,    -0.3434625, ,          -4.6,    -0.5276223, ,          -6.2,    -0.7102176, ,          -6.2,    -0.7109895, , 
         -5.2,    -0.5732975, ,          -5.8,    -0.6445936, ,          -5.8,    -0.6551136, ,          -6.2,    -0.7020769, ,          -5.4,    -0.6153026, ,            -3,     -0.342931, ,          -2.8,    -0.3203197, ,          -4.4,    -0.5048655, ,            -6,    -0.6875731, ,            -6,    -0.6883032, , 
