Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
         -8.2,    -0.9069572, ,            -8,    -0.8889234, ,          -8.2,    -0.9242475, ,            -8,    -0.9084927, ,          -4.8,    -0.5515634, ,          -2.4,    -0.2747493, ,          -4.6,    -0.5307894, ,          -6.2,    -0.7155528, ,          -7.6,    -0.8735623, , 
           -8,    -0.8880188, ,          -7.8,    -0.8700394, ,            -8,    -0.9033385, ,          -7.8,     -0.886824, ,          -4.6,    -0.5284875, ,          -2.2,    -0.2515667, ,          -4.4,    -0.5076181, ,            -6,    -0.6926807, ,          -7.4,    -0.8510895, , 
         -7.8,    -0.8682922, ,          -7.6,    -0.8503919, ,          -7.6,    -0.8610554, ,          -7.6,    -0.8649496, ,          -4.4,    -0.5054879, ,            -2,    -0.2282963, ,          -4.2,    -0.4843765, ,          -5.8,    -0.6697158, ,          -7.2,    -0.8286245, , 
         -7.6,    -0.8474181, ,          -7.4,    -0.8298655, ,          -7.4,     -0.839456, ,            -7,    -0.7992857, ,          -4.2,     -0.482469, ,          -1.8,    -0.2049032, ,            -4,    -0.4612108, ,          -5.6,    -0.6467108, ,            -7,    -0.8061657, , 
         -7.4,    -0.8196957, ,          -7.2,    -0.8092152, ,          -7.2,    -0.8174836, ,          -6.8,    -0.7769066, ,            -4,     -0.459433, ,          -1.6,    -0.1815464, ,          -3.8,     -0.438049, ,          -5.4,    -0.6237348, ,          -6.8,    -0.7837325, , 
         -7.2,    -0.7917924, ,            -7,     -0.788064, ,            -7,    -0.7953311, ,          -6.6,    -0.7543964, ,          -3.8,    -0.4362793, ,          -1.4,    -0.1583329, ,          -3.6,    -0.4148688, ,          -5.2,    -0.6008075, ,          -6.6,    -0.7612481, , 
           -7,    -0.7652003, ,          -6.6,    -0.7447403, ,          -6.8,    -0.7731165, ,          -6.4,    -0.7318571, ,          -3.6,    -0.4130699, ,          -1.2,    -0.1351377, ,          -3.4,    -0.3915878, ,            -5,    -0.5778771, ,          -6.4,    -0.7385765, , 
         -6.8,    -0.7417271, ,          -6.4,    -0.7226552, ,          -6.6,    -0.7509997, ,          -6.2,    -0.7094231, ,          -3.4,    -0.3899463, ,            -1,    -0.1119988, ,          -3.2,    -0.3682079, ,          -4.8,    -0.5547787, ,          -6.2,    -0.7163095, , 
         -6.6,    -0.7207667, ,          -6.2,    -0.7004022, ,          -6.4,    -0.7288403, ,            -6,    -0.6869683, ,          -3.2,    -0.3668047, ,          -0.8,   -0.08915198, ,            -3,    -0.3449333, ,          -4.6,    -0.5316139, ,            -6,    -0.6935402, , 
         -6.4,    -0.7014391, ,          -5.8,    -0.6560217, ,          -6.2,    -0.7064607, ,          -5.8,    -0.6643395, ,            -3,    -0.3435558, ,          -0.6,   -0.06695509, ,          -2.8,    -0.3215964, ,          -4.4,    -0.5084073, ,          -5.8,    -0.6705852, , 
