Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
   -0.9135592,    0.01497671, ,    -0.9907726,    0.01311545, ,     -1.014469,    0.01301334, ,     -1.035404,    0.01339904, ,    -0.9568636,    0.01144502, ,    -0.7697684,   0.008964991, ,    -0.7304679,   0.007710895, ,    -0.8629545,    0.00870488, ,     -1.053138,    0.01034827, ,     -1.057091,    0.00936482, , 
   -0.8941277,    0.01448072, ,    -0.9708357,    0.01269523, ,    -0.9946463,    0.01256326, ,     -1.015853,    0.01289764, ,    -0.9362491,    0.01107072, ,    -0.7285209,   0.008031148, ,    -0.7080185,   0.007607867, ,    -0.8419326,   0.008381007, ,      -1.02695,    0.01054966, ,     -1.037077,    0.00940387, , 
   -0.8747711,    0.01395885, ,    -0.9506876,    0.01229879, ,    -0.9745958,    0.01213958, ,    -0.9960266,    0.01243088, ,    -0.9146762,    0.01071161, ,    -0.7062513,   0.007906672, ,    -0.6855407,   0.007497671, ,    -0.8198231,   0.008265082, ,     -1.007954,    0.01028157, ,     -1.017569,   0.009184391, , 
   -0.8554884,    0.01341236, ,    -0.9303434,     0.0119248, ,    -0.9543366,    0.01173998, ,    -0.9759601,    0.01199368, ,    -0.8901128,    0.01035518, ,    -0.6839008,   0.007785557, ,    -0.6630376,   0.007365644, ,    -0.7977104,   0.008135158, ,    -0.9896219,   0.009972765, ,    -0.9972146,   0.008958429, , 
   -0.8358958,    0.01291731, ,    -0.9098186,    0.01157187, ,    -0.9338859,     0.0113625, ,    -0.9556807,    0.01158227, ,    -0.8687926,    0.01005508, ,    -0.6616013,   0.007630262, ,    -0.6404347,   0.007248234, ,      -0.77588,   0.007916853, ,    -0.9703867,   0.009611156, ,    -0.9763648,     0.0087359, , 
   -0.8160185,    0.01246897, ,      -0.88915,    0.01123563, ,    -0.9132588,    0.01100555, ,    -0.9352102,    0.01119364, ,    -0.8503866,   0.009810929, ,     -0.616644,   0.007351961, ,    -0.5952701,   0.006954534, ,    -0.7543104,   0.007587591, ,    -0.9505435,   0.009236868, ,    -0.9551702,   0.008525975, , 
   -0.7958866,    0.01206363, ,    -0.8683258,    0.01091912, ,    -0.8924696,    0.01066778, ,    -0.9145671,    0.01082542, ,    -0.8310592,    0.00957861, ,    -0.5944201,   0.007090977, ,    -0.5726038,   0.006850712, ,    -0.7318171,   0.007488885, ,    -0.9301537,   0.008889123, ,    -0.9337046,   0.008334198, , 
   -0.7755318,    0.01169928, ,    -0.8473498,    0.01062252, ,    -0.8715324,    0.01034805, ,    -0.8937671,    0.01047572, ,     -0.810761,   0.009349319, ,    -0.5717647,   0.006988565, ,    -0.5497736,   0.006771158, ,    -0.7092632,   0.007390636, ,    -0.9092686,   0.008588313, ,    -0.9120032,   0.008158592, , 
   -0.7549104,    0.01139236, ,    -0.8262523,    0.01034354, ,     -0.850551,    0.01002871, ,      -0.87192,     0.0101393, ,    -0.7900426,   0.009096585, ,    -0.5489447,    0.00690783, ,    -0.5269864,   0.006680734, ,    -0.6866862,   0.007285604, ,    -0.8879724,   0.008338257, ,    -0.8901199,   0.008001473, , 
   -0.7341892,    0.01111499, ,    -0.8050598,    0.01008035, ,    -0.8294687,   0.009722049, ,    -0.8467962,   0.009804849, ,    -0.7687985,   0.008883053, ,    -0.5264685,   0.006760851, ,    -0.4814642,   0.006475034, ,    -0.6640697,   0.007177143, ,    -0.8662847,   0.008142673, ,    -0.8678936,   0.007902021, , 
