Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
   -0.9868651,    0.01374193, ,     -1.003206,    0.01148528, ,    -0.9999858,    0.01088971, ,    -0.9905396,      0.010497, ,    -0.6434965,    0.00763779, ,    -0.3675721,    0.00653198, ,    -0.6229143,    0.00717761, ,    -0.8052697,   0.007951034, ,    -0.9628514,    0.00868478, , 
   -0.9680358,    0.01332766, ,    -0.9830703,    0.01119994, ,    -0.9804784,    0.01066683, ,    -0.9701139,    0.01028924, ,    -0.6206249,   0.007546333, ,    -0.3443574,   0.006449428, ,    -0.6000636,   0.007068112, ,    -0.7828852,   0.007813706, ,    -0.9405919,   0.008564512, , 
   -0.9481175,    0.01306156, ,     -0.933292,    0.01075246, ,    -0.9623016,    0.01046228, ,    -0.9493029,    0.01008895, ,    -0.5976692,    0.00746958, ,    -0.3209993,   0.006391821, ,    -0.5770671,   0.006989245, ,    -0.7603791,   0.007684885, ,    -0.9182729,    0.00845112, , 
   -0.9276963,    0.01286467, ,    -0.9095358,    0.01048988, ,    -0.9445141,    0.01006317, ,    -0.9282094,   0.009889955, ,    -0.5746439,   0.007395732, ,    -0.2977538,   0.006294311, ,    -0.5539425,   0.006920417, ,    -0.7380585,   0.007517866, ,    -0.8958776,   0.008337084, , 
   -0.9069572,    0.01272016, ,    -0.8889235,    0.01030455, ,    -0.9242476,   0.009918208, ,    -0.9084927,   0.009435029, ,    -0.5515634,   0.007320356, ,    -0.2747493,   0.006146035, ,    -0.5307894,   0.006852207, ,    -0.7155527,   0.007378397, ,    -0.8735623,   0.008201082, , 
   -0.8880188,    0.01236206, ,    -0.8700393,    0.01018812, ,    -0.9033385,   0.009789607, ,     -0.886824,   0.009285172, ,    -0.5284875,   0.007249698, ,    -0.2515667,    0.00603292, ,    -0.5076181,   0.006795323, ,    -0.6926807,   0.007293228, ,    -0.8510895,   0.008083065, , 
   -0.8682922,    0.01214394, ,    -0.8503919,    0.01009707, ,    -0.8610554,   0.009468108, ,    -0.8649496,   0.009149916, ,    -0.5054879,   0.007170456, ,    -0.2282963,   0.005939614, ,    -0.4843765,   0.006731279, ,    -0.6697158,   0.007208334, ,    -0.8286245,   0.007964557, , 
   -0.8474181,    0.01196293, ,    -0.8298655,    0.01001692, ,     -0.839456,   0.009331284, ,    -0.7992857,   0.008680617, ,     -0.482469,   0.007073967, ,    -0.2049032,   0.005872113, ,    -0.4612108,    0.00666781, ,    -0.6467108,   0.007128987, ,    -0.8061658,   0.007837165, , 
   -0.8196957,    0.01178394, ,    -0.8092152,   0.009874752, ,    -0.8174837,   0.009224035, ,    -0.7769065,   0.008573889, ,     -0.459433,   0.006993589, ,    -0.1815464,   0.005784136, ,     -0.438049,   0.006589439, ,    -0.6237348,   0.007049959, ,    -0.7837325,   0.007695187, , 
   -0.7917924,    0.01163046, ,    -0.7880639,   0.009739425, ,    -0.7953311,   0.009123533, ,    -0.7543964,    0.00847776, ,    -0.4362793,    0.00692449, ,    -0.1583329,   0.005691973, ,    -0.4148688,   0.006512701, ,    -0.6008075,   0.006951609, ,    -0.7612481,   0.007559666, , 
